"";"season";"session";"nest";"group";"total_neglected_seconds";"number_of_neglect_events";"average_neglect_duration";"uCode";"NI";"Rank"
"194";2025;"incubation1";"K17_13";"complete";209;1;209;"K17_13_incubation1_25";7,04;113
"195";2025;"incubation1";"K19_15_22cmplx";"complete";14405;24;600,208333333333;"K19_15_22cmplx_incubation1_25";38,82;23
"196";2025;"incubation1";"K20_15";"complete";16;2;8;"K20_15_incubation1_25";0,4;204
"197";2025;"incubation1";"K21_36";"complete";100;2;50;"K21_36_incubation1_25";2,38;170
"198";2025;"incubation1";"K22_52";"complete";0;0;0;"K22_52_incubation1_25";0;208
"199";2025;"incubation1";"K8";"complete";358;4;89,5;"K8_incubation1_25";5,38;128
"200";2025;"incubation1";"W28N";"complete";0;0;0;"W28N_incubation1_25";0;208
"201";2025;"incubation1";"W38A";"complete";61;2;30,5;"W38A_incubation1_25";1,49;185
"202";2025;"incubation1";"Y23_1";"complete";1369;7;195,571428571429;"Y23_1_incubation1_25";13,18;74
"203";2025;"incubation2";"101";"complete";30;2;15;"101_incubation2_25";0,75;202
"204";2025;"incubation2";"113_10";"complete";32;2;16;"113_10_incubation2_25";0,79;200
"205";2025;"incubation2";"113_1A";"complete";47;1;47;"113_1A_incubation2_25";1,86;178
"206";2025;"incubation2";"113_41";"complete";338;2;169;"113_41_incubation2_25";7,13;112
"207";2025;"incubation2";"11_58";"complete";38;1;38;"11_58_incubation2_25";1,52;184
"208";2025;"incubation2";"14_10M";"complete";0;0;0;"14_10M_incubation2_25";0;208
"209";2025;"incubation2";"83N";"complete";0;0;0;"83N_incubation2_25";0;208
"210";2025;"incubation2";"A20_1";"complete";2608;14;186,285714285714;"A20_1_incubation2_25";17,21;65
"211";2025;"incubation2";"A20_3";"complete";0;0;0;"A20_3_incubation2_25";0;208
"212";2025;"incubation2";"A20_4";"complete";0;0;0;"A20_4_incubation2_25";0;208
"213";2025;"incubation2";"D15_11";"complete";93;2;46,5;"D15_11_incubation2_25";2,23;174
"214";2025;"incubation2";"D15_6";"complete";94;1;94;"D15_6_incubation2_25";3,53;150
"215";2025;"incubation2";"D17_16";"complete";0;0;0;"D17_16_incubation2_25";0;208
"216";2025;"incubation2";"D17_8";"complete";151;1;151;"D17_8_incubation2_25";5,36;129
"217";2025;"incubation2";"D21_1";"complete";22;1;22;"D21_1_incubation2_25";0,9;197
"218";2025;"incubation2";"D22_17";"complete";0;0;0;"D22_17_incubation2_25";0;208
"219";2025;"incubation2";"J24_1";"complete";191;4;47,75;"J24_1_incubation2_25";3,04;161
"220";2025;"incubation2";"K16_4";"complete";1238;2;619;"K16_4_incubation2_25";19,04;59
"221";2025;"incubation2";"K17_13";"complete";65;1;65;"K17_13_incubation2_25";2,52;169
"222";2025;"incubation2";"K19_15_22cmplx";"complete";13629;4;3407,25;"K19_15_22cmplx_incubation2_25";53,36;16
"223";2025;"incubation2";"K19_22";"complete";2340;10;234;"K19_22_incubation2_25";17,38;64
"224";2025;"incubation2";"K19_31";"complete";45165;2;22582,5;"K19_31_incubation2_25";85,34;4
"225";2025;"incubation2";"K20_15";"complete";32;2;16;"K20_15_incubation2_25";0,79;200
"226";2025;"incubation2";"K20_8";"complete";0;0;0;"K20_8_incubation2_25";0;208
"227";2025;"incubation2";"K21_28";"complete";112;2;56;"K21_28_incubation2_25";2,65;166
"228";2025;"incubation2";"K21_36";"complete";66;2;33;"K21_36_incubation2_25";1,61;182
"229";2025;"incubation2";"K22_52";"complete";34;2;17;"K22_52_incubation2_25";0,84;199
"230";2025;"incubation2";"K8";"complete";1077;8;134,625;"K8_incubation2_25";10,54;91
"231";2025;"incubation2";"W20";"complete";137;1;137;"W20_incubation2_25";4,93;135
"232";2025;"incubation2";"W28N";"complete";0;0;0;"W28N_incubation2_25";0;208
"233";2025;"incubation2";"W38A";"complete";0;0;0;"W38A_incubation2_25";0;208
"234";2025;"incubation2";"W40";"complete";0;0;0;"W40_incubation2_25";0;208
"235";2025;"incubation2";"W41J";"complete";1162;1;1162;"W41J_incubation2_25";23,61;46
"236";2025;"incubation3";"101";"complete";4269;3;1423;"101_incubation3_25";34,38;29
"237";2025;"incubation3";"113_1A";"complete";0;0;0;"113_1A_incubation3_25";0;208
"238";2025;"incubation3";"113_41";"complete";0;0;0;"113_41_incubation3_25";0;208
"239";2025;"incubation3";"11_58";"complete";239;2;119,5;"11_58_incubation3_25";5,29;131
"240";2025;"incubation3";"14_10M";"complete";0;0;0;"14_10M_incubation3_25";0;208
"241";2025;"incubation3";"A20_1";"complete";2033;4;508,25;"A20_1_incubation3_25";20,71;51
