"Season_Nest";"nest";"season";"session";"sx";"ringno";"Total_Complete_Neglect";"n_gaps";"mean_neglect_duration";"n_incubations";"mean_incubation_duration";"uCode";"uName";"NI";"Rank"
"2020_K8";"K8";2020;"incubation2";"f";55404;0;0;NA;3;28740;"2020_incubation2_K8_f";"2020_incubation2_K8_f";0;327
"2020_K8";"K8";2020;"incubation2";"m";44931;35;2;17,5;3;42760;"2020_incubation2_K8_m";"2020_incubation2_K8_m";1,06;298
"2020_K8";"K8";2020;"incubation3";"f";55404;441;1;441;7;11999,1428571429;"2020_incubation3_K8_f";"2020_incubation3_K8_f";14,81;103
"2020_K8";"K8";2020;"incubation3";"m";44931;431;3;143,666666666667;6;17931,3333333333;"2020_incubation3_K8_m";"2020_incubation3_K8_m";9,78;142
"2020_W28N";"W28N";2020;"incubation1";"f";26953;0;0;NA;1;44097;"2020_incubation1_W28N_f";"2020_incubation1_W28N_f";0;327
"2020_W28N";"W28N";2020;"incubation1";"m";46100;32;1;32;3;57548,6666666667;"2020_incubation1_W28N_m";"2020_incubation1_W28N_m";1,4;281
"2020_W28N";"W28N";2020;"incubation2";"f";26953;0;0;NA;2;48851,5;"2020_incubation2_W28N_f";"2020_incubation2_W28N_f";0;327
"2020_W28N";"W28N";2020;"incubation2";"m";46100;0;0;NA;2;47913,5;"2020_incubation2_W28N_m";"2020_incubation2_W28N_m";0;327
"2020_W39";"W39";2020;"incubation1";"f";50152;505;4;126,25;10;12803;"2020_incubation1_W39_f";"2020_incubation1_W39_f";10,2;138
"2020_W39";"W39";2020;"incubation1";"m";46028;782;5;156,4;15;4804,53333333333;"2020_incubation1_W39_m";"2020_incubation1_W39_m";13,39;109
"2020_W39";"W39";2020;"incubation2";"f";50152;0;0;NA;3;32439,6666666667;"2020_incubation2_W39_f";"2020_incubation2_W39_f";0;327
"2020_W39";"W39";2020;"incubation2";"m";46028;25;1;25;2;40423;"2020_incubation2_W39_m";"2020_incubation2_W39_m";1,08;287
"2020_W39";"W39";2020;"incubation3";"f";50152;778;3;259,333333333333;9;16120,3333333333;"2020_incubation3_W39_f";"2020_incubation3_W39_f";15,28;100
