"Season";"session";"Nest";"group";"total_neglected_seconds";"number_of_neglect_events";"average_neglect_duration";"uCode";"NI";"Rank";"Lay_day";"Hatch_day";"mean_date";"Julian_Date_point";"Incubation_Duration";"Days_to_Hatch"
"2023";"incubation1";"A20_4";"complete";10188;9;1132;"A20_4_incubation1_23";40,32;20;NA;195;2023-06-23 14:54:24;174;NA;21
"2023";"incubation1";"D15_6";"complete";2824;7;403,428571428571;"D15_6_incubation1_23";21,62;50;NA;196;2023-06-23 15:16:28;174;NA;22
"2023";"incubation1";"K17_13";"complete";10008;8;1251;"K17_13_incubation1_23";41;19;NA;196;2023-06-23 15:13:27.5;174;NA;22
"2023";"incubation1";"K20_15";"complete";5900;5;1180;"K20_15_incubation1_23";35,57;26;NA;194;2023-06-23 15:04:54.5;174;NA;20
"2023";"incubation1";"K8";"complete";801;4;200,25;"K8_incubation1_23";10,6;90;NA;196;2023-06-23 14:52:14;174;NA;22
"2023";"incubation1";"W40";"complete";1785;16;111,5625;"W40_incubation1_23";12,89;76;NA;195;2023-06-23 15:12:44;174;NA;21
"2023";"incubation1";"W41J";"complete";266;2;133;"W41J_incubation1_23";5,81;124;NA;195;2023-06-23 15:11:21.5;174;NA;21
"2023";"incubation1";"W6";"complete";5703;3;1901;"W6_incubation1_23";39,5;22;NA;195;2023-06-23 14:55:26.5;174;NA;21
"2023";"incubation2";"101";"complete";2805;3;935;"101_incubation2_23";27,48;36;NA;194;2023-07-03 00:39:27.5;184;NA;10
"2023";"incubation2";"11_58";"complete";45984;4;11496;"11_58_incubation2_23";78,37;8;NA;198;2023-07-03 01:12:20;184;NA;14
"2023";"incubation2";"12_16";"complete";0;0;0;"12_16_incubation2_23";0;208;NA;195;2023-07-03 01:02:35;184;NA;11
"2023";"incubation2";"14_10M";"complete";0;0;0;"14_10M_incubation2_23";0;208;NA;194;2023-07-03 00:37:52.5;184;NA;10
"2023";"incubation2";"K19_19";"complete";598;3;199,333333333333;"K19_19_incubation2_23";9,44;99;NA;198;2023-07-03 00:33:35;184;NA;14
"2023";"incubation2";"K20_15";"complete";0;0;0;"K20_15_incubation2_23";0;208;NA;194;2023-07-02 23:52:27.5;183;NA;11
